,precision,recall,f1-score,support
Infrastructure,0.8105263157894737,0.9506172839506173,0.875,81.0
Other Relevant Info,0.9041095890410958,0.8425531914893617,0.8722466960352423,235.0
Not Humanitarian,0.9173553719008265,0.8809523809523809,0.8987854251012146,504.0
Rescue/Donation,0.7808219178082192,0.9047619047619048,0.8382352941176471,126.0
Affected Individuals,0.45454545454545453,0.5555555555555556,0.5,9.0
accuracy,0.8774869109947644,0.8774869109947644,0.8774869109947644,0.8774869109947644
macro avg,0.773471729817014,0.826888063341964,0.7968534830508209,955.0
weighted avg,0.8826596473050955,0.8774869109947644,0.8784905496105945,955.0
